車牌,日期,路線,0:去|1:返,移動距離,開始時間,結束時間,行駛時間,點位數量
597-FS,20171017,H62,1,15.53,20171017000047,20171017003247,0.53,33
597-FS,20171017,H62,0,16.31,20171017070441,20171017075250,0.8,49
597-FS,20171017,H62,1,17.14,20171017082130,20171017090447,0.72,42
597-FS,20171017,H62,0,16.88,20171017100131,20171017104547,0.74,44
597-FS,20171017,H62,1,13.77,20171017112347,20171017115639,0.55,33
597-FS,20171017,H62,0,16.08,20171017123751,20171017132053,0.72,37
597-FS,20171017,H62,1,18.97,20171017135453,20171017145140,0.95,44
597-FS,20171017,H62,0,18.88,20171017152739,20171017162509,0.96,49
597-FS,20171017,H62,1,16.67,20171017165242,20171017174238,0.83,34
597-FS,20171017,H62,0,17.06,20171017180359,20171017185943,0.93,45
597-FS,20171017,H62,1,15.39,20171017191150,20171017195146,0.67,34
597-FS,20171017,H62,0,16.62,20171017202641,20171017211239,0.77,41
597-FS,20171017,H62,1,16.33,20171017215347,20171017223245,0.65,33
597-FS,20171018,H31,0,15.69,20171018060033,20171018063553,0.59,21
597-FS,20171018,H31,1,14.76,20171018074033,20171018080853,0.47,8
597-FS,20171018,H31,0,15.38,20171018083819,20171018090744,0.49,6
597-FS,20171018,H31,1,16.75,20171018093844,20171018101344,0.58,29
597-FS,20171018,H31,0,17.43,20171018103644,20171018111042,0.57,35
597-FS,20171018,H31,1,16.89,20171018113646,20171018121336,0.61,38
597-FS,20171018,H31,0,2.37,20171018124139,20171018125036,0.15,10
597-FS,20171018,H31,1,0,20171018230049,20171018230049,0,1
597-FS,20171018,H31,0,8.38,20171018230149,20171018231047,0.15,10
597-FS,20171018,H31,1,14.55,20171018233650,20171018235950,0.38,24
597-FS,20171019,H31,1,2.82,20171019000050,20171019001032,0.16,11
597-FS,20171020,H31,0,17.92,20171020083547,20171020091152,0.6,36
597-FS,20171020,H31,1,17.65,20171020093753,20171020101835,0.68,42
597-FS,20171020,H31,0,17.25,20171020103655,20171020111338,0.61,38
597-FS,20171020,H31,1,17.78,20171020113738,20171020121830,0.68,42
597-FS,20171020,H31,0,17.46,20171020123543,20171020131739,0.7,43
597-FS,20171020,H31,1,17.21,20171020133739,20171020141342,0.6,37
597-FS,20171020,H31,0,16.45,20171020144346,20171020152034,0.61,38
597-FS,20171020,H31,1,9.49,20171020154958,20171020162445,0.58,36
597-FS,20171020,H31,0,17.78,20171020163753,20171020172344,0.76,47
597-FS,20171020,H31,1,17.94,20171020173742,20171020183442,0.95,58
597-FS,20171020,H31,0,18.07,20171020183742,20171020192250,0.75,46
597-FS,20171020,H31,1,9.15,20171020195043,20171020202753,0.62,38
597-FS,20171020,H31,0,16.26,20171020204053,20171020211631,0.59,37
597-FS,20171020,H31,1,9.05,20171020214959,20171020222257,0.55,34
597-FS,20171020,H31,0,13.88,20171020224942,20171020231042,0.35,22
597-FS,20171020,H31,1,14.65,20171020233742,20171020235950,0.37,23
597-FS,20171021,H31,1,3.14,20171021000050,20171021001239,0.2,13
597-FS,20171022,H31,0,18.02,20171022064038,20171022071842,0.63,39
597-FS,20171022,H31,1,17.96,20171022075242,20171022082951,0.62,37
597-FS,20171022,H31,0,17.89,20171022085039,20171022092843,0.63,37
597-FS,20171022,H31,1,20.22,20171022095151,20171022103837,0.78,48
597-FS,20171022,H31,0,20.68,20171022104137,20171022113357,0.87,53
597-FS,20171022,H31,1,20.38,20171022115240,20171022124540,0.88,54
597-FS,20171022,H31,0,20.29,20171022124840,20171022134040,0.87,53
597-FS,20171022,H31,1,19.56,20171022135240,20171022144054,0.8,45
597-FS,20171022,H31,0,20.49,20171022144345,20171022153310,0.82,51
597-FS,20171022,H31,1,19.87,20171022155250,20171022164248,0.83,49
597-FS,20171022,H31,0,19.94,20171022164438,20171022173239,0.8,49
597-FS,20171022,H31,1,20.75,20171022175239,20171022185051,0.97,58
597-FS,20171022,H31,0,18.06,20171022185740,20171022194349,0.77,47
597-FS,20171022,H31,1,20.09,20171022195153,20171022203741,0.76,47
597-FS,20171022,H31,0,20.57,20171022204158,20171022212539,0.73,45
597-FS,20171022,H31,1,17.18,20171022215140,20171022222734,0.6,37
597-FS,20171022,H31,0,17.71,20171022225835,20171022232548,0.45,28
597-FS,20171023,H31,1,17.25,20171023000248,20171023003153,0.48,30
597-FS,20171023,H31,0,18.14,20171023060050,20171023063750,0.62,38
597-FS,20171023,H31,1,18.07,20171023073750,20171023081445,0.62,38
597-FS,20171023,H31,0,17.95,20171023083545,20171023091546,0.67,39
597-FS,20171023,H31,1,17.85,20171023093746,20171023101846,0.68,42
597-FS,20171023,H31,0,17.7,20171023103546,20171023111655,0.69,41
597-FS,20171023,H31,1,17.99,20171023113956,20171023122059,0.68,42
597-FS,20171023,H31,0,17.81,20171023123551,20171023131750,0.7,42
597-FS,20171023,H31,1,17.35,20171023133750,20171023141542,0.63,39
597-FS,20171023,H31,0,17.33,20171023143642,20171023151156,0.59,35
597-FS,20171023,H31,1,17.3,20171023153656,20171023161536,0.64,39
597-FS,20171023,H31,0,16.7,20171023163836,20171023171436,0.6,37
597-FS,20171023,H31,1,17.13,20171023173639,20171023182244,0.77,47
597-FS,20171023,H31,0,17.78,20171023183644,20171023191233,0.6,33
597-FS,20171023,H31,1,17.46,20171023193653,20171023200959,0.55,33
597-FS,20171023,H31,0,17.96,20171023203640,20171023210742,0.52,32
597-FS,20171023,H31,1,17.34,20171023213654,20171023221048,0.57,35
597-FS,20171023,H31,0,17.77,20171023223548,20171023230542,0.5,31
597-FS,20171023,H31,1,14.52,20171023233649,20171023235940,0.38,20
597-FS,20171024,H31,1,1.45,20171024000040,20171024000508,0.07,6
597-FS,20171024,H31,0,17.73,20171024070236,20171024073557,0.56,34
597-FS,20171024,H31,1,17.2,20171024082157,20171024085656,0.58,34
597-FS,20171024,H31,0,17.83,20171024092136,20171024095656,0.59,36
597-FS,20171024,H31,1,17.91,20171024102136,20171024110546,0.74,44
597-FS,20171024,H31,0,17.92,20171024112046,20171024115639,0.6,37
597-FS,20171024,H31,1,17.25,20171024122157,20171024130334,0.69,42
597-FS,20171024,H31,0,17.58,20171024132354,20171024135933,0.59,36
597-FS,20171024,H31,1,18.25,20171024142152,20171024150237,0.68,42
597-FS,20171024,H31,0,18.11,20171024152158,20171024160138,0.66,39
597-FS,20171024,H31,1,17.48,20171024162146,20171024170343,0.7,43
597-FS,20171024,H31,0,17.73,20171024172143,20171024180243,0.68,42
597-FS,20171024,H31,1,17.61,20171024182152,20171024190614,0.74,46
597-FS,20171024,H31,0,17.78,20171024192049,20171024195026,0.49,31
597-FS,20171024,H31,1,16.48,20171024202326,20171024210034,0.62,32
597-FS,20171024,H31,0,17.75,20171024212237,20171024215346,0.52,32
597-FS,20171024,H31,1,18.09,20171024222144,20171024225145,0.5,31
597-FS,20171025,H31,0,17.3,20171025073553,20171025081746,0.7,42
597-FS,20171025,H31,1,17.8,20171025083746,20171025091554,0.64,31
597-FS,20171025,H31,0,12.77,20171025095334,20171025101230,0.32,19
597-FS,20171025,H31,1,17.43,20171025103750,20171025111337,0.6,37
597-FS,20171025,H31,0,18.06,20171025113557,20171025121756,0.7,43
597-FS,20171025,H31,1,18.06,20171025123735,20171025131745,0.67,41
597-FS,20171025,H31,0,17.95,20171025133544,20171025141233,0.61,37
597-FS,20171025,H31,1,17.7,20171025143733,20171025151354,0.61,36
597-FS,20171025,H31,0,17.53,20171025153535,20171025161346,0.64,39
597-FS,20171025,H31,1,9.53,20171025164846,20171025171954,0.52,32
597-FS,20171025,H31,0,17.54,20171025173926,20171025181838,0.65,40
597-FS,20171025,H31,1,18.16,20171025183746,20171025191437,0.61,38
597-FS,20171025,H31,0,17.51,20171025193547,20171025201139,0.6,35
597-FS,20171025,H31,1,17.8,20171025203738,20171025211444,0.62,38
597-FS,20171025,H31,0,15.35,20171025213936,20171025220541,0.43,26
597-FS,20171025,H31,1,16.9,20171025224340,20171025231449,0.52,32
597-FS,20171026,H31,0,18.05,20171026051047,20171026054554,0.59,36
597-FS,20171026,H31,1,17.94,20171026070234,20171026074235,0.67,41
597-FS,20171026,H31,0,17.59,20171026082133,20171026090157,0.67,38
597-FS,20171026,H31,1,17.84,20171026092341,20171026100257,0.65,40
597-FS,20171026,H31,0,17.9,20171026102138,20171026110546,0.74,45
597-FS,20171026,H31,1,17.96,20171026112251,20171026121054,0.8,49
597-FS,20171026,H31,0,17.73,20171026122042,20171026130440,0.73,45
597-FS,20171026,H31,1,13.89,20171026132240,20171026155945,2.62,10
597-FS,20171026,H31,0,16.13,20171026162645,20171026170145,0.58,36
597-FS,20171026,H31,1,17.29,20171026172228,20171026180808,0.76,46
597-FS,20171026,H31,0,17.71,20171026182128,20171026185742,0.6,32
597-FS,20171026,H31,1,8.83,20171026193329,20171026200253,0.49,31
597-FS,20171026,H31,0,17.52,20171026202213,20171026205633,0.57,35
597-FS,20171026,H31,1,17.55,20171026212139,20171026215833,0.62,38
597-FS,20171027,H62,0,16.25,20171027052147,20171027055536,0.56,35
