車牌,日期,路線,0:去|1:返,移動距離,開始時間,結束時間,行駛時間,點位數量
597-FS,20171027,H62,1,17.37,20171027064236,20171027073039,0.8,49
597-FS,20171027,H62,0,17.05,20171027093648,20171027102850,0.87,53
597-FS,20171027,H62,1,16.4,20171027111510,20171027120456,0.83,51
597-FS,20171027,H62,0,21.48,20171027124544,20171027134622,1.01,62
597-FS,20171027,H62,1,17.44,20171027142222,20171027151551,0.89,53
597-FS,20171027,H62,0,17.48,20171027170143,20171027180647,1.08,66
597-FS,20171027,H62,1,17.39,20171027182247,20171027192540,1.05,64
597-FS,20171027,H31,0,16.47,20171027205545,20171027213346,0.63,34
597-FS,20171027,H31,1,17.61,20171027215146,20171027223138,0.66,40
597-FS,20171027,H31,0,18.02,20171027225947,20171027232746,0.47,29
597-FS,20171028,H31,1,17.36,20171028000139,20171028003245,0.52,32
597-FS,20171028,H31,0,15.47,20171028143550,20171028151456,0.65,31
597-FS,20171028,H31,1,17.27,20171028153743,20171028161746,0.67,39
597-FS,20171028,H31,0,17.62,20171028163629,20171028172036,0.74,45
597-FS,20171028,H31,1,17.68,20171028173737,20171028182123,0.73,45
597-FS,20171028,H31,0,16.28,20171028183549,20171028191550,0.67,33
597-FS,20171028,H31,1,17.93,20171028193653,20171028200833,0.53,33
597-FS,20171028,H31,0,15.48,20171028203553,20171028210945,0.56,27
597-FS,20171028,H31,1,17.43,20171028213724,20171028221049,0.56,34
597-FS,20171028,H31,0,18.21,20171028223540,20171028230736,0.53,32
597-FS,20171028,H31,1,13.85,20171028233756,20171028235935,0.36,22
597-FS,20171029,H31,1,2.63,20171029000036,20171029000944,0.15,10
597-FS,20171029,H62,0,12.78,20171029080148,20171029083703,0.59,34
597-FS,20171029,H62,1,17.29,20171029092340,20171029105537,1.53,49
597-FS,20171029,H62,0,16.84,20171029110146,20171029115041,0.82,45
597-FS,20171029,H62,1,17.34,20171029122146,20171029131145,0.83,49
597-FS,20171029,H62,0,17.14,20171029150146,20171029154758,0.77,44
597-FS,20171029,H62,1,17.53,20171029162238,20171029172039,0.97,57
597-FS,20171029,H62,0,17.28,20171029190052,20171029194946,0.82,50
597-FS,20171029,H62,1,17.34,20171029202242,20171029211347,0.85,52
597-FS,20171030,H62,0,16.74,20171030072640,20171030082126,0.91,56
597-FS,20171030,H62,1,21.15,20171030084746,20171030094932,1.03,63
597-FS,20171030,H62,0,21.67,20171030101152,20171030112459,1.22,67
597-FS,20171030,H62,1,21.01,20171030114247,20171030124238,1,59
597-FS,20171030,H62,0,21.78,20171030131038,20171030141429,1.06,64
597-FS,20171030,H62,1,16.66,20171030144229,20171030152648,0.74,46
597-FS,20171030,H62,0,16.52,20171030154744,20171030163832,0.85,40
597-FS,20171030,H62,1,12.8,20171030170552,20171030174141,0.6,31
597-FS,20171030,H62,0,16.33,20171030181545,20171030190447,0.82,38
597-FS,20171030,H62,1,20.92,20171030192147,20171030204547,1.4,60
597-FS,20171030,H62,0,20.44,20171030204948,20171030214056,0.85,50
597-FS,20171030,H62,1,13.85,20171030222452,20171030225340,0.48,30
599-FS,20171017,H31,1,0.25,20171017000039,20171017000139,0.02,2
599-FS,20171017,H31,0,17.62,20171017070044,20171017073932,0.65,40
599-FS,20171017,H31,1,17.51,20171017082145,20171017090940,0.8,49
599-FS,20171017,H31,0,17.91,20171017092040,20171017100030,0.66,40
599-FS,20171017,H31,1,17.06,20171017102150,20171017110127,0.66,41
599-FS,20171017,H31,0,17.79,20171017112047,20171017115437,0.56,35
599-FS,20171017,H31,1,16.93,20171017122157,20171017130537,0.73,35
599-FS,20171017,H31,0,17.8,20171017132057,20171017135445,0.56,33
599-FS,20171017,H31,1,17.77,20171017142225,20171017145921,0.62,33
599-FS,20171017,H31,0,17.13,20171017152141,20171017155728,0.6,34
599-FS,20171017,H31,1,17.12,20171017162234,20171017170930,0.78,42
599-FS,20171017,H31,0,16.3,20171017172055,20171017180555,0.75,30
599-FS,20171017,H31,1,16.15,20171017182145,20171017190241,0.68,35
599-FS,20171017,H31,0,15.58,20171017192128,20171017195139,0.5,25
599-FS,20171017,H31,1,16.56,20171017202239,20171017205936,0.62,34
599-FS,20171017,H31,0,17.6,20171017212136,20171017215446,0.55,27
599-FS,20171017,H31,1,15.84,20171017222235,20171017224845,0.44,26
599-FS,20171019,H31,0,17.53,20171019053154,20171019055859,0.45,28
599-FS,20171019,H31,1,17.22,20171019063639,20171019070944,0.55,34
599-FS,20171019,H31,0,15.26,20171019075552,20171019082540,0.5,29
599-FS,20171019,H31,1,17.71,20171019085144,20171019092540,0.57,35
599-FS,20171019,H31,0,17.29,20171019095040,20171019102446,0.57,31
599-FS,20171019,H31,1,17.92,20171019105146,20171019113346,0.7,43
599-FS,20171019,H31,0,17.62,20171019115235,20171019122835,0.6,37
599-FS,20171019,H31,1,17.83,20171019125235,20171019132838,0.6,37
599-FS,20171019,H31,0,17.55,20171019135039,20171019142454,0.57,35
599-FS,20171019,H31,1,18.38,20171019145246,20171019153246,0.67,41
599-FS,20171019,H31,0,17.47,20171019155146,20171019163334,0.7,43
599-FS,20171019,H31,1,17.86,20171019165234,20171019173758,0.76,46
599-FS,20171019,H31,0,18.35,20171019175046,20171019183547,0.75,46
599-FS,20171019,H31,1,17.59,20171019185244,20171019193244,0.67,32
599-FS,20171019,H31,0,17.52,20171019195053,20171019203042,0.66,30
599-FS,20171019,H31,1,17.63,20171019205242,20171019212850,0.6,37
599-FS,20171019,H31,0,17.22,20171019215045,20171019222533,0.58,34
599-FS,20171019,H31,1,17.76,20171019232253,20171019235753,0.58,36
599-FS,20171020,H31,0,17.99,20171020073642,20171020081653,0.67,41
599-FS,20171020,H31,1,17.38,20171020083738,20171020091250,0.59,36
599-FS,20171020,H31,0,17.98,20171020093547,20171020101135,0.6,37
599-FS,20171020,H31,1,17.49,20171020103657,20171020111854,0.7,43
599-FS,20171020,H31,0,18.39,20171020113635,20171020121343,0.62,38
599-FS,20171020,H31,1,17.92,20171020123741,20171020131751,0.67,41
599-FS,20171020,H31,0,17.77,20171020133751,20171020141745,0.67,41
599-FS,20171020,H31,1,17.26,20171020143741,20171020151349,0.6,37
599-FS,20171020,H31,0,17.27,20171020153649,20171020161234,0.6,35
599-FS,20171020,H31,1,17.65,20171020163642,20171020172053,0.74,45
599-FS,20171020,H31,0,18.11,20171020173639,20171020182240,0.77,47
599-FS,20171020,H31,1,17.76,20171020183740,20171020192044,0.72,44
599-FS,20171020,H31,0,18.23,20171020193544,20171020201041,0.58,35
599-FS,20171020,H31,1,17.28,20171020203642,20171020211544,0.65,40
599-FS,20171020,H31,0,15.59,20171020213536,20171020220541,0.5,24
599-FS,20171020,H31,1,17.93,20171020224142,20171020231758,0.6,37
599-FS,20171021,H31,0,16.91,20171021051135,20171021053843,0.45,28
599-FS,20171021,H31,1,17.3,20171021070148,20171021073352,0.53,33
599-FS,20171021,H31,0,17.94,20171021082121,20171021090040,0.66,40
599-FS,20171021,H31,1,17.53,20171021092240,20171021095939,0.62,38
599-FS,20171021,H31,0,18.28,20171021102142,20171021110146,0.67,41
599-FS,20171021,H31,1,18.14,20171021112250,20171021122247,1,60
599-FS,20171021,H31,0,17.97,20171021122555,20171021130352,0.63,39
599-FS,20171021,H31,1,17.77,20171021132253,20171021140239,0.66,41
599-FS,20171021,H31,0,17.38,20171021142039,20171021145940,0.65,40
599-FS,20171021,H31,1,17.17,20171021152145,20171021160845,0.78,28
599-FS,20171021,H31,0,17.93,20171021162045,20171021170241,0.7,43
599-FS,20171021,H31,1,17.71,20171021172141,20171021181550,0.9,55
599-FS,20171021,H31,0,17.84,20171021182110,20171021190543,0.74,46
599-FS,20171021,H31,1,17.77,20171021192143,20171021200247,0.68,42
599-FS,20171021,H31,0,17.71,20171021202037,20171021205646,0.6,37
599-FS,20171021,H31,1,17.72,20171021212245,20171021220545,0.72,43
599-FS,20171022,H62,0,17.05,20171022052239,20171022055249,0.5,31
599-FS,20171022,H62,1,14.74,20171022064237,20171022071542,0.55,34
599-FS,20171022,H62,0,16.51,20171022093654,20171022101656,0.67,36
599-FS,20171022,H62,1,20.94,20171022111235,20171022121243,1,61
599-FS,20171022,H62,0,21.65,20171022124543,20171022134934,1.06,64
599-FS,20171022,H62,1,17.36,20171022142234,20171022151934,0.95,58
599-FS,20171022,H62,0,17.28,20171022170043,20171022175543,0.92,56
599-FS,20171022,H62,1,17.35,20171022182243,20171022191536,0.88,54
599-FS,20171023,H62,0,16.78,20171023072549,20171023081343,0.8,49
599-FS,20171023,H62,1,21.12,20171023084649,20171023094748,1.02,55
599-FS,20171023,H62,0,21.29,20171023101030,20171023111447,1.07,64
599-FS,20171023,H62,1,20.95,20171023114247,20171023124148,0.98,57
599-FS,20171023,H62,0,21.32,20171023131049,20171023141444,1.07,65
599-FS,20171023,H62,1,17.26,20171023144244,20171023153253,0.84,50
599-FS,20171023,H62,0,12.76,20171023154531,20171023162801,0.71,44
599-FS,20171023,H62,1,14.41,20171023170341,20171023174441,0.68,42
599-FS,20171023,H62,0,16.62,20171023181529,20171023190043,0.75,45
599-FS,20171023,H62,1,21.13,20171023192157,20171023202347,1.03,61
599-FS,20171023,H62,0,21.99,20171023204547,20171023214259,0.95,58
599-FS,20171023,H62,1,12.98,20171023222145,20171023225340,0.53,33
599-FS,20171024,H62,0,17.27,20171024055049,20171024062944,0.65,40
599-FS,20171024,H62,1,18.25,20171024072233,20171024081243,0.84,51
599-FS,20171024,H62,0,21.84,20171024084543,20171024095153,1.1,63
599-FS,20171024,H62,1,17.17,20171024102240,20171024110947,0.79,48
599-FS,20171024,H62,0,16.4,20171024120057,20171024124430,0.73,44
599-FS,20171024,H62,1,13.9,20171024131150,20171024134835,0.61,34
599-FS,20171024,H62,0,16.87,20171024141656,20171024150440,0.8,49
599-FS,20171024,H62,1,17.46,20171024152159,20171024161136,0.83,48
599-FS,20171024,H62,0,16.87,20171024162647,20171024171450,0.8,49
599-FS,20171024,H62,1,21.08,20171024174150,20171024184832,1.11,68
599-FS,20171024,H62,0,21.16,20171024191041,20171024201049,1,61
599-FS,20171024,H62,1,17.1,20171024204129,20171024212945,0.8,47
599-FS,20171024,H62,0,17.28,20171024220133,20171024223956,0.64,39
599-FS,20171024,H62,1,16.14,20171024232636,20171024235943,0.55,34
599-FS,20171025,H62,1,0.68,20171025000044,20171025000143,0.02,2
599-FS,20171026,H62,0,16.59,20171026080047,20171026084746,0.78,47
599-FS,20171026,H62,1,16.71,20171026092446,20171026101144,0.78,48
599-FS,20171026,H62,0,17.36,20171026110056,20171026114643,0.76,47
599-FS,20171026,H62,1,17.01,20171026122342,20171026130921,0.76,47
599-FS,20171026,H62,0,16.95,20171026150050,20171026154934,0.81,46
599-FS,20171026,H62,1,17.34,20171026162340,20171026171537,0.87,52
599-FS,20171026,H62,0,16.33,20171026190633,20171026194935,0.72,43
599-FS,20171026,H62,1,16.98,20171026202351,20171026211051,0.78,48
599-FS,20171027,H62,0,16.93,20171027062746,20171027071216,0.74,46
599-FS,20171027,H62,1,15.74,20171027074132,20171027082524,0.73,45
599-FS,20171027,H62,0,16.84,20171027092744,20171027101242,0.75,46
599-FS,20171027,H62,1,17.36,20171027104234,20171027113131,0.82,50
599-FS,20171027,H62,0,16.27,20171027121147,20171027125732,0.76,47
599-FS,20171027,H62,1,16.75,20171027132332,20171027141438,0.85,52
599-FS,20171027,H62,0,16.31,20171027142738,20171027151249,0.75,41
599-FS,20171027,H62,1,20.84,20171027154249,20171027164651,1.07,64
599-FS,20171027,H62,0,22.08,20171027171150,20171027183136,1.33,80
599-FS,20171027,H62,1,17.32,20171027184140,20171027194447,1.05,64
599-FS,20171027,H62,0,17.16,20171027200135,20171027204847,0.79,47
599-FS,20171027,H62,1,17.1,20171027212327,20171027221734,0.9,51
599-FS,20171027,H62,0,16.47,20171027223243,20171027231033,0.63,39
599-FS,20171027,H62,1,2.39,20171027235633,20171027235941,0.05,4
599-FS,20171028,H62,1,14.11,20171028000041,20171028003534,0.58,36
599-FS,20171028,H62,0,17.06,20171028070142,20171028074620,0.74,46
599-FS,20171028,H62,1,14.59,20171028082228,20171028090028,0.63,33
599-FS,20171028,H62,0,16.74,20171028100147,20171028104718,0.76,46
599-FS,20171028,H62,1,15.42,20171028112538,20171028121448,0.82,47
599-FS,20171028,H62,0,17.07,20171028123658,20171028132553,0.82,47
599-FS,20171028,H62,1,20.83,20171028135253,20171028145530,1.04,64
599-FS,20171028,H62,0,21.43,20171028152050,20171028163423,1.23,73
599-FS,20171028,H62,1,14.54,20171028165343,20171028172751,0.57,35
599-FS,20171028,H62,0,16.45,20171028180251,20171028185317,0.84,52
599-FS,20171028,H62,1,17.04,20171028191143,20171028200108,0.82,51
599-FS,20171028,H62,0,16.22,20171028202637,20171028211234,0.77,47
599-FS,20171028,H62,1,17.45,20171028215153,20171028224245,0.85,52
599-FS,20171029,H62,0,16.6,20171029050044,20171029053151,0.52,32
599-FS,20171029,H62,1,14.3,20171029070351,20171029073342,0.5,31
599-FS,20171029,H62,0,14.81,20171029082651,20171029091147,0.75,16
599-FS,20171029,H62,1,19.87,20171029094247,20171029103236,0.83,51
599-FS,20171029,H62,0,21.73,20171029111136,20171029121744,1.1,62
599-FS,20171029,H62,1,16.13,20171029124143,20171029132708,0.76,41
599-FS,20171029,H62,0,16.5,20171029135840,20171029144840,0.83,46
599-FS,20171029,H62,1,16.81,20171029150145,20171029154632,0.75,44
599-FS,20171029,H62,0,16.69,20171029160644,20171029165510,0.81,48
599-FS,20171029,H62,1,17.23,20171029172234,20171029182635,1.07,64
599-FS,20171029,H62,0,16.61,20171029183545,20171029192625,0.84,51
599-FS,20171029,H62,1,17.31,20171029195145,20171029204734,0.93,52
599-FS,20171029,H62,0,17.4,20171029212547,20171029221044,0.75,45
599-FS,20171030,H31,0,17.38,20171030053140,20171030060047,0.49,30
599-FS,20171030,H31,1,17.75,20171030063645,20171030070849,0.53,33
599-FS,20171030,H31,0,18.17,20171030075144,20171030082930,0.63,39
599-FS,20171030,H31,1,17.87,20171030085239,20171030093248,0.67,41
599-FS,20171030,H31,0,17.84,20171030095044,20171030102352,0.55,34
599-FS,20171030,H31,1,17.53,20171030105230,20171030113035,0.63,38
599-FS,20171030,H31,0,17.74,20171030115115,20171030123322,0.7,42
599-FS,20171030,H31,1,17.88,20171030125242,20171030133432,0.7,42
599-FS,20171030,H31,0,18.18,20171030135148,20171030143342,0.7,43
599-FS,20171030,H31,1,17.53,20171030145242,20171030153142,0.65,38
599-FS,20171030,H31,0,16.54,20171030155042,20171030162656,0.6,33
599-FS,20171030,H31,1,17.77,20171030165143,20171030173731,0.76,45
599-FS,20171030,H31,0,16,20171030175151,20171030183738,0.76,40
KKA-7302,20171017,H31,1,17.76,20171017000150,20171017002941,0.46,29
KKA-7302,20171017,H31,0,14.48,20171017060058,20171017063342,0.55,26
KKA-7302,20171017,H31,1,17.75,20171017073737,20171017081045,0.55,34
KKA-7302,20171017,H31,0,16.54,20171017083546,20171017091038,0.58,30
KKA-7302,20171017,H31,1,16.82,20171017093738,20171017101336,0.6,36
KKA-7302,20171017,H31,0,15.29,20171017103656,20171017110836,0.53,24
KKA-7302,20171017,H31,1,16.96,20171017113736,20171017121522,0.63,38
KKA-7302,20171017,H31,0,17.04,20171017123739,20171017131343,0.6,31
KKA-7302,20171017,H31,1,16.8,20171017134043,20171017141451,0.57,27
KKA-7302,20171017,H31,0,16.18,20171017143831,20171017151338,0.59,29
KKA-7302,20171017,H31,1,17.03,20171017153738,20171017162035,0.72,36
KKA-7302,20171017,H31,0,16.28,20171017163835,20171017171941,0.69,34
KKA-7302,20171017,H31,1,15.79,20171017174101,20171017182350,0.71,37
KKA-7302,20171017,H31,0,14.79,20171017184138,20171017191439,0.55,27
KKA-7302,20171017,H31,1,16.75,20171017193839,20171017201349,0.59,27
KKA-7302,20171017,H31,0,15.22,20171017203829,20171017210845,0.5,29
KKA-7302,20171017,H31,1,16.72,20171017213745,20171017221043,0.55,31
KKA-7302,20171017,H31,0,17.72,20171017223654,20171017230439,0.46,26
KKA-7302,20171017,H31,1,12.24,20171017233839,20171017235948,0.35,12
KKA-7302,20171018,H31,1,1.87,20171018000028,20171018000756,0.12,6
KKA-7302,20171019,H31,0,17.59,20171019103651,20171019111244,0.6,37
KKA-7302,20171019,H31,1,17.16,20171019112345,20171019120330,0.66,41
KKA-7302,20171019,H31,0,17.32,20171019122050,20171019130238,0.7,43
KKA-7302,20171019,H31,1,17.87,20171019132143,20171019135748,0.6,37
KKA-7302,20171019,H31,0,17.5,20171019142047,20171019150239,0.7,42
KKA-7302,20171019,H31,1,18.16,20171019152158,20171019160537,0.73,45
KKA-7302,20171019,H31,0,17.65,20171019162252,20171019170536,0.71,44
KKA-7302,20171019,H31,1,17.97,20171019172134,20171019180753,0.77,47
KKA-7302,20171019,H31,0,17.36,20171019182142,20171019185732,0.6,37
KKA-7302,20171019,H31,1,17.05,20171019192540,20171019200240,0.62,28
KKA-7302,20171019,H31,0,17.78,20171019202134,20171019205855,0.62,36
KKA-7302,20171019,H31,1,17.97,20171019212154,20171019220235,0.68,42
KKA-7302,20171020,H31,0,18.22,20171020070045,20171020074047,0.67,41
KKA-7302,20171020,H31,1,17.25,20171020082247,20171020090357,0.69,42
KKA-7302,20171020,H31,0,16.5,20171020092651,20171020095939,0.55,34
KKA-7302,20171020,H31,1,17.72,20171020102243,20171020110235,0.66,41
KKA-7302,20171020,H31,0,15.4,20171020112642,20171020120150,0.59,17
KKA-7302,20171020,H31,1,8.89,20171020123337,20171020130641,0.55,34
KKA-7302,20171020,H31,0,16.36,20171020132058,20171020140241,0.7,34
KKA-7302,20171020,H31,1,7.02,20171020143642,20171020150554,0.49,4
KKA-7302,20171020,H31,0,6.62,20171020153242,20171020155141,0.32,6
KKA-7302,20171020,H31,1,7.72,20171020163849,20171020171340,0.58,22
KKA-7302,20171020,H31,0,16.56,20171020172748,20171020181045,0.72,44
KKA-7302,20171020,H31,1,17.62,20171020182245,20171020191148,0.82,50
KKA-7302,20171020,H31,0,18.03,20171020192144,20171020200133,0.66,41
KKA-7302,20171020,H31,1,17.06,20171020202413,20171020210331,0.66,40
KKA-7302,20171020,H31,0,18.03,20171020212350,20171020220248,0.65,40
KKA-7302,20171020,H31,1,17.45,20171020222251,20171020225836,0.6,37
KKA-7302,20171022,H31,0,18.36,20171022051136,20171022054244,0.52,32
KKA-7302,20171022,H31,1,16.88,20171022070244,20171022073433,0.53,33
KKA-7302,20171022,H31,0,16.99,20171022082233,20171022085902,0.61,38
KKA-7302,20171022,H31,1,17.74,20171022092242,20171022095839,0.6,37
KKA-7302,20171022,H31,0,17.42,20171022102139,20171022105748,0.6,37
